domain,name,country
afghanuniversity.edu.af,Afghan University,Afghanistan
au.edu.af,Al-Birony University,Afghanistan
auaf.edu.af,American University of Afghanistan,Afghanistan
aria.edu.af,Aria Institute of Higher Education,Afghanistan
badakhshan.edu.af,Badakhshan University,Afghanistan
baghlan.edu.af,Baghlan University,Afghanistan
bakhtar.edu.af,Bakhtar University,Afghanistan
ba.edu.af,Balkh University,Afghanistan
bu.edu.af,Bamiyan University,Afghanistan
bost.edu.af,Bost University,Afghanistan
dawat.edu.af,Dawat University,Afghanistan
dunya.edu.af,Dunya Institute of Higher Education,Afghanistan
faryab.edu.af,Faryab Higher Education Institute,Afghanistan
gu.edu.af,Ghazni University,Afghanistan
hu.edu.af,Herat University,Afghanistan
ibnesina.edu.af,Ibn Sina University,Afghanistan
ju.edu.af,Jawzjan University,Afghanistan
kaboora.edu.af,Kaboora Institute of Higher Education,Afghanistan
keu.edu.af,Kabul Education University,Afghanistan
kabuli.edu.af,Kabul Health Sciences Institute,Afghanistan
kmu.edu.af,Kabul Medical University,Afghanistan
ku.edu.af,Kabul University,Afghanistan
kan.edu.af,Kandahar University,Afghanistan
kardan.edu.af,Kardan University,Afghanistan
karwan.edu.af,Karwan Institute of Higher Education,Afghanistan
kateb.edu.af,Kateb Institute of Higher Education,Afghanistan
ken.edu.af,Khana-e-Noor Institute of Higher Education,Afghanistan
kumsa.net,Khurasan University,Afghanistan
maryam.edu.af,Maryam Institute of Higher Education,Afghanistan
nu.edu.af,Nangarhar University,Afghanistan
nmaa.edu.af,National Military Academy of Afghanistan,Afghanistan
pu.edu.af,Paktia University,Afghanistan
pamir.edu.af,Pamir University,Afghanistan
parwan.edu.af,Parwan University,Afghanistan
polytechnic-kabul.org,Polytechnical University of Kabul,Afghanistan
rihs.edu.af,Rana Institute of Higher Education,Afghanistan
sadat.edu.af,Sadat Institute of Higher Education,Afghanistan
salam.edu.af,Salam University,Afghanistan
szu.edu.af,Shaikh Zayed University,Afghanistan
tu.edu.af,Takhar University,Afghanistan
akademiaearteve.edu.al,Academy of Arts,Albania
aefs.edu.al,Academy of Sports and Physical Training,Albania
ubt.edu.al,Agricultural University of Tirana,Albania
uat.edu.al,American University of Tirana,Albania
beder.edu.al,Beder University,Albania
epitech.al,Ecole pour l'Informatique et les nouvelles Technologies - Albania,Albania
epoka.edu.al,Epoka University,Albania
upt.al,Polytechnic University of Tirana,Albania
uniel.edu.al,"University of Elbasan ""Aleksander Xhuvani""",Albania
uogj.edu.al,"University of Gjirokstra ""Eqerem Cabej""",Albania
unkorce.edu.al,"University of Korca ""Fan Noli""",Albania
unyt.edu.al,University of New York Tirana,Albania
unishk.edu.al,"University of Shkodra ""Luigj Gurakuqi""",Albania
unitir.edu.al,University of Tirana,Albania
univlora.edu.al,"University of Vlora ""Ismail Qemali""",Albania
unipavaresia.edu.al,University “Pavaresia” Vlore,Albania
univ-oeb.dz,Centre Universitaire d'Oum El Bouaghi,Algeria
univ-jijel.dz,Centre Universitaire de Jijel,Algeria
univ-tebessa.dz,Centre Universitaire de Tebessa,Algeria
univ-tiaret.dz,Centre Universitaire de Tiaret,Algeria
univ-emir.dz,Universite des Sciences Islamiques de Constantine,Algeria
univ-tlemcen.dz,"Université Abou Bekr Belkaid, Tlemcen",Algeria
lagh-univ.dz,Université Amar Telidji,Algeria
univ-annaba.dz,Université Badji Mokhtar,Algeria
univ-ouargla.dz,Université Kasdi Merbah Ouargla,Algeria
umbb.dz,Université M'hamed Bouguerra de Boumerdes,Algeria
umc.edu.dz,Université Mentouri Constantine,Algeria
ummto.dz,Université Mouloud Mammeri de Tizi Ouzou,Algeria
univ-alger.dz,Université d'Alger,Algeria
univ-alger3.dz,Université d'Alger 3,Algeria
univ-oran.dz,Université d'Oran Es-Senia,Algeria
univ-batna.dz,Université de Batna,Algeria
univ-biskra.dz,Université de Biskra,Algeria
univ-blida.dz,Université de Blida,Algeria
univ-bejaia.dz,Université de Béjaia,Algeria
univ-chlef.dz,Université de Chlef,Algeria
univ-guelma.dz,Université de Guelma,Algeria
univ-msila.dz,Université de M'sila,Algeria
univ-mosta.dz,Université de Mostaganem,Algeria
univ-saida.dz,Université de Saida,Algeria
univ-sba.dz,Université de Sidi-Bel-Abbès (Djillali Liabès),Algeria
univ-skikda.dz,Université de Skikda,Algeria
univ-setif.dz,Université de Sétif,Algeria
usthb.dz,Université des Sciences et de la Technologie Houari Boumediène,Algeria
univ-usto.dz,Université des Sciences et de la Technologie d'Oran,Algeria
uda.ad,University of Andorra,Andorra
ucan.edu,Universidade Católica de Angola,Angola
ugs.ed.ao,Universidade Gregorio Semedo,Angola
unia.ao,Universidade Independente de Angola,Angola
ulangola.net,Universidade Lusíada de Angola,Angola
uma.co.ao,Universidade Metodista de Angola,Angola
unimetroangola.com,Universidade Metropolitana de Angola,Angola
utanga.co.ao,Universidade Tecnica de Angola,Angola
uan.ao,Univesidade Agostinho Neto,Angola
auamed.org,American University of Antigua,Antigua and Barbuda
uhsa.ag,University of Health Sciences Antigua,Antigua and Barbuda
unlu.edu.ar,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",Argentina
itba.edu.ar,Instituto Tecnológico de Buenos Aires,Argentina
iua.edu.ar,Instituto Universitario Aeronáutico,Argentina
cema.edu.ar,Instituto Universitario CEMA,Argentina
iuna.edu.ar,Instituto Universitario Nacional del Arte,Argentina
iucs.uncoma.edu.ar,Instituto Universitario de Ciencias de la Salud - Buenos Aires,Argentina
inun.edu.ar,Instituto Universitario de Estudios Navales y Marítimos,Argentina
universidad-policial.edu.ar,Instituto Universitario de la Policia Federal,Argentina
iese.edu.ar,Instituto de Enseñanza Superior del Ejército,Argentina
umaza.edu.ar,"Universidad ""Juan Agustín Maza""",Argentina
vaneduc.edu.ar,Universidad Abierta Interamericana,Argentina
uapar.edu,Universidad Adventista del Plata,Argentina
kennedy.edu.ar,"Universidad Argentina ""John F. Kennedy""",Argentina
uade.edu.ar,Universidad Argentina de la Empresa,Argentina
atlantida.edu.ar,Universidad Atlantida Argentina,Argentina
austral.edu.ar,Universidad Austral Buenos Aires,Argentina
uader.edu.ar,Universidad Autónoma de Entre Ríos,Argentina
ubp.edu.ar,Universidad Blas Pascal,Argentina
caece.edu.ar,"Universidad CAECE, Buenos Aires",Argentina
uca.edu.ar,Universidad Católica Argentina Santa Maria de los Buenos Aires,Argentina
uccuyo.edu.ar,Universidad Católica de Cuyo,Argentina
uccor.edu.ar,Universidad Católica de Córdoba,Argentina
ucalp.edu.ar,Universidad Católica de La Plata,Argentina
ucasal.net,Universidad Católica de Salta,Argentina
ucsf.edu.ar,Universidad Católica de Santa Fé,Argentina
ucse.edu.ar,Universidad Católica de Santiago del Estero,Argentina
uch.edu.ar,Universidad Champagnat,Argentina
uesiglo21.edu.ar,Universidad Empresarial Siglio 21,Argentina
maimonides.edu.ar,Universidad Maimónides,Argentina
unca.edu.ar,Universidad Nacional de Catamarca,Argentina
uncu.edu.ar,Universidad Nacional de Cuyo,Argentina
unc.edu.ar,Universidad Nacional de Córdoba,Argentina
uner.edu.ar,Universidad Nacional de Entre Ríos,Argentina
unf.edu.ar,Universidad Nacional de Formosa,Argentina
unsam.edu.ar,Universidad Nacional de General San Martín,Argentina
ungs.edu.ar,Universidad Nacional de General Sarmiento,Argentina
unju.edu.ar,Universidad Nacional de Jujuy,Argentina
unlam.edu.ar,Universidad Nacional de La Matanza,Argentina
unlpam.edu.ar,Universidad Nacional de La Pampa,Argentina
unlp.edu.ar,Universidad Nacional de La Plata,Argentina
unlar.edu.ar,Universidad Nacional de La Rioja,Argentina
unla.edu.ar,Universidad Nacional de Lanus,Argentina
unlz.edu.ar,Universidad Nacional de Lomas de Zamora,Argentina
unlu.edu.ar,Universidad Nacional de Luján,Argentina
mdp.edu.ar,Universidad Nacional de Mar del Plata,Argentina
unam.edu.ar,Universidad Nacional de Misiones,Argentina
unq.edu.ar,Universidad Nacional de Quilmes,Argentina
unr.edu.ar,Universidad Nacional de Rosario,Argentina
unrc.edu.ar,Universidad Nacional de Río Cuarto,Argentina
unsa.edu.ar,Universidad Nacional de Salta,Argentina
unsj.edu.ar,Universidad Nacional de San Juan,Argentina
unsl.edu.ar,Universidad Nacional de San Luis,Argentina
unse.edu.ar,Universidad Nacional de Santiago del Estero,Argentina
untref.edu.ar,Universidad Nacional de Tres de Febrero,Argentina
unt.edu.ar,Universidad Nacional de Tucumán,Argentina
webs.satlink.com,Universidad Nacional de Villa María,Argentina
unp.edu.ar,"Universidad Nacional de la Patagonia ""San Juan Bosco""",Argentina
unpa.edu.ar,Universidad Nacional de la Patagonia Austral,Argentina
unicen.edu.ar,Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina
uncoma.edu.ar,Universidad Nacional del Comahue,Argentina
unl.edu.ar,Universidad Nacional del Litoral,Argentina
unne.edu.ar,Universidad Nacional del Nordeste,Argentina
unnoba.edu.ar,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Argentina
uns.edu.ar,Universidad Nacional del Sur,Argentina
universidadnotarial.edu.ar,Universidad Notarial Argentina,Argentina
utn.edu.ar,Universidad Tecnológica Nacional,Argentina
utdt.edu,Universidad Torcuato di Tella,Argentina
ub.edu.ar,Universidad de Belgrano,Argentina
unibo.edu.ar,Universidad de Bologna - Representación en Buenos Aires,Argentina
uba.ar,Universidad de Buenos Aires,Argentina
uces.edu.ar,Universidad de Ciencias Empresariales y Sociales,Argentina
ucu.edu.ar,Universidad de Concepción del Uruguay,Argentina
ucongres.edu.ar,Universidad de Congreso,Argentina
uflo.edu.ar,Universidad de Flores - Buenos Aires,Argentina
um.edu.ar,Universidad de Mendoza,Argentina
unimoron.edu.ar,Universidad de Morón,Argentina
palermo.edu.ar,Universidad de Palermo,Argentina
udesa.edu.ar,Universidad de San Andres,Argentina
ucp.edu.ar,Universidad de la Cuenca del Plata,Argentina
ufasta.edu.ar,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),Argentina
udemm.edu.ar,Universidad de la Marina Mercante,Argentina
uda.edu.ar,Universidad del Aconcagua,Argentina
ucel.edu.ar,Universidad del Centro Educativo Latinoamericano Rosario,Argentina
ucine.edu.ar,Universidad del Cine - Buenos Aires,Argentina
umsa.edu.ar,Universidad del Museo Social Argentino,Argentina
unsta.edu.ar,"Universidad del Norte ""Santo Tomás de Aquino""",Argentina
salvador.edu.ar,Universidad del Salvador,Argentina
aua.am,American University of Armenia,Armenia
asau.am,Armenian State Agrarian University,Armenia
asue.am,Armenian State University of Economics,Armenia
eiu.am,Eurasia International University,Armenia
eriicta.am,European Regional Educational Academy of Armenia,Armenia
ufar.am,French University in Armenia (UFAR),Armenia
armmed.am,Mehrabyan Medical Institute and Medical College,Armenia
rau.am,Russian-Armenian (Slavonic) State University,Armenia
seua.am,State Engineering University of Armenia,Armenia
haybusak.org,Yerevan Haibusak University,Armenia
ysmu.am,Yerevan State Medical University,Armenia
ysu.am,Yerevan State University,Armenia
acu.edu.au,Australian Catholic University,Australia
